,ID,prediction
0,2019 X 7 X C1004 X AS17005,0
1,2019 X 8 X C1004 X AS17005,0
2,2019 X 9 X C1004 X AS17005,0
0,2019 X 7 X C1004 X AS21126,0
1,2019 X 8 X C1004 X AS21126,0
2,2019 X 9 X C1004 X AS21126,0
0,2019 X 7 X C1004 X AS27000,62
1,2019 X 8 X C1004 X AS27000,2
2,2019 X 9 X C1004 X AS27000,82
0,2019 X 7 X C1004 X AS27132,9
1,2019 X 8 X C1004 X AS27132,11
2,2019 X 9 X C1004 X AS27132,8
0,2019 X 7 X C1004 X AS27133,88
1,2019 X 8 X C1004 X AS27133,11
2,2019 X 9 X C1004 X AS27133,81
0,2019 X 7 X C1004 X AS27134,33
1,2019 X 8 X C1004 X AS27134,16
2,2019 X 9 X C1004 X AS27134,86
0,2019 X 7 X C1004 X AS27137,29
1,2019 X 8 X C1004 X AS27137,8
2,2019 X 9 X C1004 X AS27137,16
0,2019 X 7 X C1004 X AS27138,26
1,2019 X 8 X C1004 X AS27138,7
2,2019 X 9 X C1004 X AS27138,39
0,2019 X 7 X C1004 X AS27139,0
1,2019 X 8 X C1004 X AS27139,0
2,2019 X 9 X C1004 X AS27139,0
0,2019 X 7 X C1004 X AS42018,0
1,2019 X 8 X C1004 X AS42018,0
2,2019 X 9 X C1004 X AS42018,0
0,2019 X 7 X C1004 X AS46000,0
1,2019 X 8 X C1004 X AS46000,0
2,2019 X 9 X C1004 X AS46000,0
0,2019 X 7 X C1007 X AS17005,0
1,2019 X 8 X C1007 X AS17005,0
2,2019 X 9 X C1007 X AS17005,0
0,2019 X 7 X C1007 X AS21126,0
1,2019 X 8 X C1007 X AS21126,0
2,2019 X 9 X C1007 X AS21126,0
0,2019 X 7 X C1007 X AS27000,8
1,2019 X 8 X C1007 X AS27000,126
2,2019 X 9 X C1007 X AS27000,222
0,2019 X 7 X C1007 X AS27132,0
1,2019 X 8 X C1007 X AS27132,66
2,2019 X 9 X C1007 X AS27132,11
0,2019 X 7 X C1007 X AS27133,0
1,2019 X 8 X C1007 X AS27133,0
2,2019 X 9 X C1007 X AS27133,0
0,2019 X 7 X C1007 X AS27134,0
1,2019 X 8 X C1007 X AS27134,65
2,2019 X 9 X C1007 X AS27134,8
0,2019 X 7 X C1007 X AS27137,10
1,2019 X 8 X C1007 X AS27137,28
2,2019 X 9 X C1007 X AS27137,62
0,2019 X 7 X C1007 X AS27138,24
1,2019 X 8 X C1007 X AS27138,5
2,2019 X 9 X C1007 X AS27138,0
0,2019 X 7 X C1007 X AS27139,0
1,2019 X 8 X C1007 X AS27139,0
2,2019 X 9 X C1007 X AS27139,0
0,2019 X 7 X C1007 X AS42018,0
1,2019 X 8 X C1007 X AS42018,0
2,2019 X 9 X C1007 X AS42018,19
0,2019 X 7 X C1007 X AS46000,0
